time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,-0.048,-0.303,0.79
0.1,0.001,-0.318,0.756
0.12,0.136,-0.319,0.809
0.14,0.232,-0.312,0.896
0.16,0.357,-0.328,0.904
0.18,0.515,-0.331,0.926
0.2,0.57,-0.305,0.906
0.22,0.523,-0.271,0.88
0.24,0.408,-0.255,0.908
0.26,0.334,-0.253,0.92
0.28,0.43,-0.286,0.909
0.3,0.572,-0.269,0.961
0.32,0.513,-0.23,0.99
0.34,0.289,-0.147,0.975
0.36,0.104,-0.068,1.014
0.38,-0.078,0.029,1.072
0.4,-0.311,0.106,1.113
0.42,-0.361,0.125,1.166
0.44,-0.18,0.117,1.157
0.46,-0.027,0.017,1.006
0.48,0.171,-0.16,0.936
0.5,0.205,-0.213,0.921
0.52,0.187,-0.21,0.915
0.54,0.121,-0.267,0.919
0.56,0.071,-0.315,0.923
0.58,0.069,-0.322,0.922
0.6,0.119,-0.318,0.938
0.62,0.16,-0.338,0.917
0.64,0.206,-0.352,0.889
0.66,0.224,-0.356,0.867
0.68,0.19,-0.321,0.914
0.7,0.111,-0.252,1.003
0.72,0.079,-0.18,1.02
0.74,0.154,-0.116,1.044
0.76,0.306,-0.08,1.079
0.78,0.388,-0.074,1.074
0.8,0.37,-0.091,1.033
0.82,0.278,-0.096,0.997
0.84,0.011,-0.1,0.897
0.86,-0.282,-0.041,0.847
0.88,-0.305,-0.063,0.97
0.9,-0.253,-0.12,1.082
0.92,-0.159,-0.175,1.153
0.94,-0.064,-0.236,1.152
0.96,0.064,-0.276,1.05
0.98,0.134,-0.289,0.936
1,0.112,-0.265,0.899
1.02,0.001,-0.259,0.896
1.04,-0.028,-0.28,0.896
1.06,0.03,-0.344,0.857
1.08,0.127,-0.346,0.801
1.1,0.259,-0.338,0.825
1.12,0.429,-0.312,0.863
1.14,0.554,-0.282,0.86
1.16,0.528,-0.293,0.868
1.18,0.463,-0.287,0.872
1.2,0.411,-0.268,0.903
1.22,0.377,-0.205,0.96
1.24,0.241,-0.13,1.013
1.26,-0.006,-0.056,1.055
1.28,-0.22,0.008,1.103
1.3,-0.262,0.045,1.137
1.32,-0.229,0.025,1.147
1.34,-0.119,0.05,1.08
1.36,0.036,0.013,0.945
1.38,0.167,-0.12,0.857
1.4,0.182,-0.159,0.885
1.42,0.123,-0.188,0.95
1.44,0.099,-0.284,1.03
1.46,0.108,-0.303,1.052
1.48,0.141,-0.334,0.987
1.5,0.228,-0.351,0.943
1.52,0.246,-0.347,0.936
1.54,0.246,-0.334,0.95
1.56,0.217,-0.305,0.965
1.58,0.135,-0.272,0.973
1.6,0.049,-0.236,0.983
1.62,0.005,-0.208,0.972
1.64,-0.021,-0.16,0.953
1.66,-0.016,-0.116,0.956
1.68,0.062,-0.086,0.978
1.7,0.367,-0.077,1.014
1.72,0.547,-0.124,1.013
1.74,0.283,-0.141,0.992
1.76,0.059,-0.144,1.005
1.78,-0.053,-0.125,1.032
1.8,-0.222,-0.131,1.047
1.82,-0.244,-0.109,1.067
1.84,-0.128,-0.111,1.071
1.86,-0.003,-0.17,1.051
1.88,0.031,-0.219,0.989
1.9,0.06,-0.256,0.91
1.92,0.088,-0.291,0.82
1.94,0.18,-0.282,0.804
1.96,0.24,-0.278,0.849
1.98,0.305,-0.315,0.87
2,0.364,-0.342,0.861
2.02,0.444,-0.313,0.917
2.04,0.424,-0.31,0.909
2.06,0.443,-0.313,0.894
2.08,0.526,-0.277,0.889
2.1,0.54,-0.281,0.879
2.12,0.416,-0.267,0.87
2.14,0.213,-0.214,0.883
2.16,-0.003,-0.111,0.917
2.18,-0.144,-0.053,0.992
2.2,-0.261,0.011,1.088
2.22,-0.254,0.07,1.178
2.24,-0.108,0.074,1.209
2.26,-0.015,0.031,1.125
2.28,0.154,-0.031,1.017
2.3,0.265,-0.134,0.89
2.32,0.186,-0.229,0.874
2.34,0.082,-0.219,0.98
