time,x-acceleration,y-acceleration,z-acceleration
0,0,0,0
0.02,0,0,0
0.04,0,0,0
0.06,0,0,0
0.08,-0.075,-0.18,1.013
0.1,-0.052,-0.209,0.967
0.12,0.056,-0.234,0.893
0.14,0.193,-0.316,0.776
0.16,0.318,-0.389,0.706
0.18,0.278,-0.34,0.738
0.2,0.249,-0.284,0.813
0.22,0.406,-0.276,0.884
0.24,0.596,-0.258,0.919
0.26,0.666,-0.25,0.917
0.28,0.607,-0.267,0.885
0.3,0.604,-0.304,0.86
0.32,0.579,-0.318,0.863
0.34,0.423,-0.27,0.861
0.36,0.285,-0.179,0.907
0.38,0.047,-0.096,0.982
0.4,-0.188,-0.038,1.093
0.42,-0.256,-0.006,1.166
0.44,-0.226,-0.014,1.153
0.46,0.001,-0.049,1.06
0.48,0.276,-0.162,0.935
0.5,0.364,-0.242,0.862
0.52,0.316,-0.282,0.862
0.54,0.172,-0.287,0.939
0.56,0.042,-0.266,0.984
0.58,-0.025,-0.256,0.973
0.6,0.004,-0.247,0.949
0.62,0.031,-0.237,0.927
0.64,0.158,-0.264,0.935
0.66,0.24,-0.279,0.949
0.68,0.232,-0.252,0.971
0.7,0.205,-0.218,0.99
0.72,0.152,-0.163,1.011
0.74,0.107,-0.141,1.011
0.76,0.177,-0.132,1.008
0.78,0.409,-0.125,1.064
0.8,0.346,-0.121,1.049
0.82,0.079,-0.109,0.97
0.84,-0.017,-0.119,0.907
0.86,-0.079,-0.106,0.935
0.88,-0.062,-0.094,1.057
0.9,-0.023,-0.117,1.117
0.92,0.011,-0.184,1.09
0.94,0.08,-0.251,1
0.96,0.121,-0.266,0.94
0.98,0.034,-0.244,0.918
1,0.041,-0.228,0.897
1.02,0.134,-0.253,0.851
1.04,0.231,-0.266,0.81
1.06,0.352,-0.298,0.831
1.08,0.443,-0.303,0.879
1.1,0.521,-0.306,0.874
1.12,0.57,-0.313,0.856
1.14,0.548,-0.306,0.837
1.16,0.535,-0.27,0.864
1.18,0.593,-0.277,0.889
1.2,0.583,-0.279,0.887
1.22,0.479,-0.255,0.882
1.24,0.35,-0.213,0.909
1.26,0.147,-0.147,0.934
1.28,-0.063,-0.103,0.996
1.3,-0.18,-0.048,1.055
1.32,-0.244,-0.012,1.051
1.34,-0.058,-0.012,1.104
1.36,0.269,-0.065,1.134
1.38,0.429,-0.139,0.935
1.4,0.227,-0.245,0.842
1.42,0.007,-0.195,0.901
1.44,-0.075,-0.209,1.064
1.46,-0.11,-0.178,1.113
1.48,-0.099,-0.2,1.045
1.5,0.001,-0.265,0.958
1.52,0.104,-0.28,0.877
1.54,0.134,-0.27,0.857
1.56,0.171,-0.269,0.924
1.58,0.172,-0.247,1.007
1.6,0.155,-0.216,1.009
1.62,0.143,-0.12,1.045
1.64,0.165,-0.13,1.013
1.66,0.393,-0.129,0.965
1.68,0.388,-0.113,1.003
1.7,0.077,-0.098,1.036
1.72,-0.313,-0.073,1.016
1.74,-0.36,-0.078,1.013
1.76,-0.266,-0.112,0.986
1.78,-0.096,-0.088,0.987
1.8,0.014,-0.118,1.062
1.82,-0.028,-0.136,1.055
1.84,-0.042,-0.167,0.948
1.86,0.139,-0.267,0.819
1.88,0.324,-0.307,0.77
1.9,0.353,-0.305,0.81
1.92,0.39,-0.286,0.865
1.94,0.532,-0.326,0.816
1.96,0.559,-0.33,0.828
1.98,0.508,-0.307,0.883
2,0.495,-0.278,0.885
2.02,0.567,-0.274,0.896
2.04,0.705,-0.282,0.877
2.06,0.683,-0.287,0.802
2.08,0.557,-0.257,0.785
2.1,0.383,-0.208,0.823
2.12,0.108,-0.131,0.923
2.14,-0.169,-0.041,1.056
2.16,-0.359,0.023,1.128
2.18,-0.293,0.039,1.112
2.2,-0.015,-0.009,1.103
2.22,0.249,-0.056,1.086
2.24,0.365,-0.171,0.953
2.26,0.293,-0.27,0.859
2.28,0.193,-0.243,0.871
2.3,0.062,-0.254,0.942
2.32,0.003,-0.237,0.973
2.34,0.001,-0.228,0.973
