time,x-acceleration,y-acceleration,z-acceleration
0,0.211,-0.284,0.906
0.02,0.211,-0.284,0.906
0.04,0.211,-0.284,0.906
0.06,0.323,-0.188,0.968
0.08,0.323,-0.188,0.968
0.1,0.323,-0.188,0.968
0.12,0.405,-0.095,1
0.14,0.405,-0.095,1
0.16,0.405,-0.095,1
0.18,0.468,0.029,0.979
0.2,0.468,0.029,0.979
0.22,0.468,0.029,0.979
0.24,0.499,0.184,0.912
0.26,0.499,0.184,0.912
0.28,0.499,0.184,0.912
0.3,0.532,0.302,0.949
0.32,0.532,0.302,0.949
0.34,0.532,0.302,0.949
0.36,0.501,0.366,1.057
0.38,0.501,0.366,1.057
0.4,0.501,0.366,1.057
0.42,0.518,0.401,1.081
0.44,0.518,0.401,1.081
0.46,0.518,0.401,1.081
0.48,0.519,0.278,0.991
0.5,0.519,0.278,0.991
0.52,0.519,0.278,0.991
0.54,0.423,0.001,0.844
0.56,0.423,0.001,0.844
0.58,0.423,0.001,0.844
0.6,0.288,-0.165,0.815
0.62,0.288,-0.165,0.815
0.64,0.288,-0.165,0.815
0.66,0.397,-0.256,0.869
0.68,0.397,-0.256,0.869
0.7,0.397,-0.256,0.869
0.72,0.657,-0.255,0.982
0.74,0.657,-0.255,0.982
0.76,0.657,-0.255,0.982
0.78,0.702,-0.191,1.124
0.8,0.702,-0.191,1.124
0.82,0.702,-0.191,1.124
0.84,0.54,-0.102,1.089
0.86,0.54,-0.102,1.089
0.88,0.54,-0.102,1.089
0.9,0.401,-0.086,0.953
0.92,0.401,-0.086,0.953
0.94,0.401,-0.086,0.953
0.96,0.252,-0.1,0.85
0.98,0.252,-0.1,0.85
1,0.252,-0.1,0.85
1.02,0.055,-0.136,0.824
1.04,0.055,-0.136,0.824
1.06,0.055,-0.136,0.824
1.08,-0.026,-0.231,0.888
1.1,-0.026,-0.231,0.888
1.12,-0.026,-0.231,0.888
1.14,0.017,-0.311,0.987
1.16,0.017,-0.311,0.987
1.18,0.017,-0.311,0.987
1.2,0.068,-0.359,1.066
1.22,0.068,-0.359,1.066
1.24,0.068,-0.359,1.066
1.26,0.175,-0.417,1.066
1.28,0.175,-0.417,1.066
1.3,0.175,-0.417,1.066
1.32,0.34,-0.51,1
1.34,0.34,-0.51,1
1.36,0.34,-0.51,1
1.38,0.451,-0.577,0.915
1.4,0.451,-0.577,0.915
1.42,0.451,-0.577,0.915
1.44,0.466,-0.566,0.874
1.46,0.466,-0.566,0.874
1.48,0.466,-0.566,0.874
1.5,0.363,-0.514,0.846
1.52,0.363,-0.514,0.846
1.54,0.363,-0.514,0.846
1.56,0.243,-0.43,0.838
1.58,0.243,-0.43,0.838
1.6,0.243,-0.43,0.838
1.62,0.134,-0.331,0.858
1.64,0.134,-0.331,0.858
1.66,0.134,-0.331,0.858
1.68,0.091,-0.184,0.897
1.7,0.091,-0.184,0.897
1.72,0.091,-0.184,0.897
1.74,0.114,-0.045,0.931
1.76,0.114,-0.045,0.931
1.78,0.114,-0.045,0.931
1.8,0.211,0.123,0.947
1.82,0.211,0.123,0.947
1.84,0.211,0.123,0.947
1.86,0.328,0.272,0.947
1.88,0.328,0.272,0.947
1.9,0.328,0.272,0.947
1.92,0.407,0.367,0.97
1.94,0.407,0.367,0.97
1.96,0.407,0.367,0.97
1.98,0.45,0.427,0.98
2,0.45,0.427,0.98
2.02,0.45,0.427,0.98
2.04,0.585,0.402,0.972
2.06,0.585,0.402,0.972
2.08,0.585,0.402,0.972
2.1,0.608,0.299,0.974
2.12,0.608,0.299,0.974
2.14,0.608,0.299,0.974
2.16,0.559,0.151,0.931
2.18,0.559,0.151,0.931
2.2,0.559,0.151,0.931
2.22,0.589,-0.014,0.873
2.24,0.589,-0.014,0.873
2.26,0.589,-0.014,0.873
2.28,0.56,-0.125,0.887
2.3,0.56,-0.125,0.887
2.32,0.56,-0.125,0.887
2.34,0.452,-0.13,0.939
2.36,0.452,-0.13,0.939
2.38,0.452,-0.13,0.939
2.4,0.429,-0.09,1.03
2.42,0.429,-0.09,1.03
2.44,0.429,-0.09,1.03
2.46,0.413,-0.04,1.071
2.48,0.413,-0.04,1.071
2.5,0.413,-0.04,1.071
2.52,0.394,-0.021,1.024
2.54,0.394,-0.021,1.024
2.56,0.394,-0.021,1.024
2.58,0.314,0.017,0.932
2.6,0.314,0.017,0.932
2.62,0.314,0.017,0.932
2.64,0.279,0.083,0.874
2.66,0.279,0.083,0.874
2.68,0.279,0.083,0.874
2.7,0.183,0.024,0.904
2.72,0.183,0.024,0.904
2.74,0.183,0.024,0.904
2.76,0.049,-0.099,0.97
2.78,0.049,-0.099,0.97
2.8,0.049,-0.099,0.97
2.82,0.047,-0.228,0.986
2.84,0.047,-0.228,0.986
2.86,0.047,-0.228,0.986
2.88,0.099,-0.355,0.944
2.9,0.099,-0.355,0.944
2.92,0.099,-0.355,0.944
2.94,0.242,-0.44,0.901
2.96,0.242,-0.44,0.901
2.98,0.242,-0.44,0.901
3,0.397,-0.501,0.904
3.02,0.397,-0.501,0.904
3.04,0.397,-0.501,0.904
3.06,0.504,-0.518,0.882
3.08,0.504,-0.518,0.882
3.1,0.504,-0.518,0.882
3.12,0.516,-0.492,0.851
3.14,0.516,-0.492,0.851
3.16,0.516,-0.492,0.851
3.18,0.421,-0.42,0.84
3.2,0.421,-0.42,0.84
3.22,0.421,-0.42,0.84
3.24,0.302,-0.328,0.865
3.26,0.302,-0.328,0.865
3.28,0.302,-0.328,0.865
3.3,0.172,-0.219,0.885
3.32,0.172,-0.219,0.885
3.34,0.172,-0.219,0.885
3.36,0.148,-0.095,0.921
3.38,0.148,-0.095,0.921
3.4,0.148,-0.095,0.921
3.42,0.18,0.015,0.96
3.44,0.18,0.015,0.96
3.46,0.18,0.015,0.96
3.48,0.258,0.145,0.964
3.5,0.258,0.145,0.964
3.52,0.258,0.145,0.964
3.54,0.427,0.239,1.002
3.56,0.427,0.239,1.002
3.58,0.427,0.239,1.002
3.6,0.562,0.277,1.039
3.62,0.562,0.277,1.039
3.64,0.562,0.277,1.039
3.66,0.607,0.297,1.039
3.68,0.607,0.297,1.039
3.7,0.607,0.297,1.039
3.72,0.647,0.288,1.067
3.74,0.647,0.288,1.067
3.76,0.647,0.288,1.067
3.78,0.593,0.255,1.058
3.8,0.593,0.255,1.058
