time,x-acceleration,y-acceleration,z-acceleration
0,0.318,-0.162,0.919
0.02,0.318,-0.162,0.919
0.04,0.318,-0.162,0.919
0.06,0.424,-0.143,0.944
0.08,0.424,-0.143,0.944
0.1,0.424,-0.143,0.944
0.12,0.633,-0.017,0.987
0.14,0.633,-0.017,0.987
0.16,0.633,-0.017,0.987
0.18,0.634,0.095,1.01
0.2,0.634,0.095,1.01
0.22,0.634,0.095,1.01
0.24,0.5,0.188,0.978
0.26,0.5,0.188,0.978
0.28,0.5,0.188,0.978
0.3,0.446,0.238,0.945
0.32,0.446,0.238,0.945
0.34,0.446,0.238,0.945
0.36,0.451,0.247,0.96
0.38,0.451,0.247,0.96
0.4,0.451,0.247,0.96
0.42,0.445,0.264,0.987
0.44,0.445,0.264,0.987
0.46,0.445,0.264,0.987
0.48,0.356,0.255,0.975
0.5,0.356,0.255,0.975
0.52,0.356,0.255,0.975
0.54,0.332,0.223,0.918
0.56,0.332,0.223,0.918
0.58,0.332,0.223,0.918
0.6,0.34,0.171,0.852
0.62,0.34,0.171,0.852
0.64,0.34,0.171,0.852
0.66,0.286,0.037,0.823
0.68,0.286,0.037,0.823
0.7,0.286,0.037,0.823
0.72,0.324,-0.058,0.857
0.74,0.324,-0.058,0.857
0.76,0.324,-0.058,0.857
0.78,0.422,-0.112,0.92
0.8,0.422,-0.112,0.92
0.82,0.422,-0.112,0.92
0.84,0.463,-0.107,0.961
0.86,0.463,-0.107,0.961
0.88,0.463,-0.107,0.961
0.9,0.463,-0.092,0.933
0.92,0.463,-0.092,0.933
0.94,0.463,-0.092,0.933
0.96,0.42,-0.071,0.887
0.98,0.42,-0.071,0.887
1,0.42,-0.071,0.887
1.02,0.415,-0.045,0.877
1.04,0.415,-0.045,0.877
1.06,0.415,-0.045,0.877
1.08,0.353,-0.009,0.854
1.1,0.353,-0.009,0.854
1.12,0.353,-0.009,0.854
1.14,0.246,0.059,0.868
1.16,0.246,0.059,0.868
1.18,0.246,0.059,0.868
1.2,0.183,0.109,0.934
1.22,0.183,0.109,0.934
1.24,0.183,0.109,0.934
1.26,0.166,0.101,1.005
1.28,0.166,0.101,1.005
1.3,0.166,0.101,1.005
1.32,0.23,0.059,1.03
1.34,0.23,0.059,1.03
1.36,0.23,0.059,1.03
1.38,0.23,0.005,0.957
1.4,0.23,0.005,0.957
1.42,0.23,0.005,0.957
1.44,0.29,-0.077,0.824
1.46,0.29,-0.077,0.824
1.48,0.29,-0.077,0.824
1.5,0.418,-0.132,0.784
1.52,0.418,-0.132,0.784
1.54,0.418,-0.132,0.784
1.56,0.516,-0.159,0.876
1.58,0.516,-0.159,0.876
1.6,0.516,-0.159,0.876
1.62,0.58,-0.163,0.957
1.64,0.58,-0.163,0.957
1.66,0.58,-0.163,0.957
1.68,0.502,-0.146,0.968
1.7,0.502,-0.146,0.968
1.72,0.502,-0.146,0.968
1.74,0.413,-0.113,0.995
1.76,0.413,-0.113,0.995
1.78,0.413,-0.113,0.995
1.8,0.386,-0.064,1.028
1.82,0.386,-0.064,1.028
1.84,0.386,-0.064,1.028
1.86,0.363,-0.02,1.024
1.88,0.363,-0.02,1.024
1.9,0.363,-0.02,1.024
1.92,0.345,0.009,0.996
1.94,0.345,0.009,0.996
1.96,0.345,0.009,0.996
1.98,0.35,0.03,0.938
2,0.35,0.03,0.938
2.02,0.35,0.03,0.938
2.04,0.331,0.025,0.908
2.06,0.331,0.025,0.908
2.08,0.331,0.025,0.908
2.1,0.311,0.015,0.943
2.12,0.311,0.015,0.943
2.14,0.311,0.015,0.943
2.16,0.349,0.02,0.988
2.18,0.349,0.02,0.988
2.2,0.349,0.02,0.988
2.22,0.387,-0.009,0.96
2.24,0.387,-0.009,0.96
2.26,0.387,-0.009,0.96
2.28,0.414,-0.06,0.889
2.3,0.414,-0.06,0.889
2.32,0.414,-0.06,0.889
2.34,0.448,-0.101,0.838
2.36,0.448,-0.101,0.838
2.38,0.448,-0.101,0.838
2.4,0.496,-0.118,0.807
2.42,0.496,-0.118,0.807
2.44,0.496,-0.118,0.807
2.46,0.536,-0.125,0.832
2.48,0.536,-0.125,0.832
2.5,0.536,-0.125,0.832
2.52,0.518,-0.1,0.893
2.54,0.518,-0.1,0.893
2.56,0.518,-0.1,0.893
2.58,0.507,-0.071,0.908
2.6,0.507,-0.071,0.908
2.62,0.507,-0.071,0.908
2.64,0.479,-0.034,0.916
2.66,0.479,-0.034,0.916
2.68,0.479,-0.034,0.916
2.7,0.437,-0.007,0.917
2.72,0.437,-0.007,0.917
2.74,0.437,-0.007,0.917
2.76,0.422,0.008,0.947
2.78,0.422,0.008,0.947
2.8,0.422,0.008,0.947
2.82,0.391,0.005,0.972
2.84,0.391,0.005,0.972
2.86,0.391,0.005,0.972
2.88,0.373,-0.001,0.992
2.9,0.373,-0.001,0.992
2.92,0.373,-0.001,0.992
2.94,0.412,-0.018,0.988
2.96,0.412,-0.018,0.988
2.98,0.412,-0.018,0.988
3,0.477,-0.015,0.973
3.02,0.477,-0.015,0.973
3.04,0.477,-0.015,0.973
3.06,0.45,0.001,0.96
3.08,0.45,0.001,0.96
3.1,0.45,0.001,0.96
3.12,0.403,0.02,0.971
3.14,0.403,0.02,0.971
3.16,0.403,0.02,0.971
3.18,0.423,0.058,0.956
3.2,0.423,0.058,0.956
3.22,0.423,0.058,0.956
3.24,0.415,0.09,0.918
3.26,0.415,0.09,0.918
3.28,0.415,0.09,0.918
3.3,0.452,0.114,0.955
3.32,0.452,0.114,0.955
3.34,0.452,0.114,0.955
3.36,0.491,0.115,0.998
3.38,0.491,0.115,0.998
3.4,0.491,0.115,0.998
3.42,0.431,0.098,0.996
3.44,0.431,0.098,0.996
3.46,0.431,0.098,0.996
3.48,0.422,0.07,0.998
3.5,0.422,0.07,0.998
3.52,0.422,0.07,0.998
3.54,0.432,0.007,0.961
3.56,0.432,0.007,0.961
3.58,0.432,0.007,0.961
3.6,0.471,-0.058,0.915
3.62,0.471,-0.058,0.915
3.64,0.471,-0.058,0.915
3.66,0.501,-0.078,0.935
3.68,0.501,-0.078,0.935
3.7,0.501,-0.078,0.935
3.72,0.522,-0.077,0.961
