time,x-acceleration,y-acceleration,z-acceleration
0,0.22,-0.483,0.996
0.02,0.22,-0.483,0.996
0.04,0.22,-0.483,0.996
0.06,0.182,-0.533,0.938
0.08,0.182,-0.533,0.938
0.1,0.182,-0.533,0.938
0.12,0.07,-0.53,0.847
0.14,0.07,-0.53,0.847
0.16,0.07,-0.53,0.847
0.18,0.041,-0.47,0.799
0.2,0.041,-0.47,0.799
0.22,0.041,-0.47,0.799
0.24,0.112,-0.369,0.899
0.26,0.112,-0.369,0.899
0.28,0.112,-0.369,0.899
0.3,0.145,-0.198,1.079
0.32,0.145,-0.198,1.079
0.34,0.145,-0.198,1.079
0.36,0.032,-0.033,1.148
0.38,0.032,-0.033,1.148
0.4,0.032,-0.033,1.148
0.42,-0.059,0.047,1.082
0.44,-0.059,0.047,1.082
0.46,-0.059,0.047,1.082
0.48,0.053,0.015,0.969
0.5,0.053,0.015,0.969
0.52,0.053,0.015,0.969
0.54,0.128,-0.065,0.934
0.56,0.128,-0.065,0.934
0.58,0.128,-0.065,0.934
0.6,0.24,-0.17,0.955
0.62,0.24,-0.17,0.955
0.64,0.24,-0.17,0.955
0.66,0.311,-0.277,0.954
0.68,0.311,-0.277,0.954
0.7,0.311,-0.277,0.954
0.72,0.267,-0.326,0.902
0.74,0.267,-0.326,0.902
0.76,0.267,-0.326,0.902
0.78,0.15,-0.323,0.861
0.8,0.15,-0.323,0.861
0.82,0.15,-0.323,0.861
0.84,0.081,-0.294,0.91
0.86,0.081,-0.294,0.91
0.88,0.081,-0.294,0.91
0.9,0.099,-0.286,0.993
0.92,0.099,-0.286,0.993
0.94,0.099,-0.286,0.993
0.96,0.096,-0.244,0.992
0.98,0.096,-0.244,0.992
1,0.096,-0.244,0.992
1.02,0.159,-0.182,0.957
1.04,0.159,-0.182,0.957
1.06,0.159,-0.182,0.957
1.08,0.269,-0.111,0.975
1.1,0.269,-0.111,0.975
1.12,0.269,-0.111,0.975
1.14,0.327,-0.031,1.008
1.16,0.327,-0.031,1.008
1.18,0.327,-0.031,1.008
1.2,0.333,0.086,1.044
1.22,0.333,0.086,1.044
1.24,0.333,0.086,1.044
1.26,0.271,0.168,1.075
1.28,0.271,0.168,1.075
1.3,0.271,0.168,1.075
1.32,0.202,0.209,1.078
1.34,0.202,0.209,1.078
1.36,0.202,0.209,1.078
1.38,0.192,0.212,1.084
1.4,0.192,0.212,1.084
1.42,0.192,0.212,1.084
1.44,0.286,0.194,1.09
1.46,0.286,0.194,1.09
1.48,0.286,0.194,1.09
1.5,0.313,0.189,1.098
1.52,0.313,0.189,1.098
1.54,0.313,0.189,1.098
1.56,0.297,0.166,1.07
1.58,0.297,0.166,1.07
1.6,0.297,0.166,1.07
1.62,0.338,0.167,1.021
1.64,0.338,0.167,1.021
1.66,0.338,0.167,1.021
1.68,0.291,0.167,1.01
1.7,0.291,0.167,1.01
1.72,0.291,0.167,1.01
1.74,0.254,0.103,0.953
1.76,0.254,0.103,0.953
1.78,0.254,0.103,0.953
1.8,0.284,0.036,0.943
1.82,0.284,0.036,0.943
1.84,0.284,0.036,0.943
1.86,0.165,-0.148,0.938
1.88,0.165,-0.148,0.938
1.9,0.165,-0.148,0.938
1.92,0.232,-0.339,0.933
1.94,0.232,-0.339,0.933
1.96,0.232,-0.339,0.933
1.98,0.377,-0.428,0.904
