acc_x,acc_y,acc_z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.438,-0.21,0.948
0.461,-0.189,0.951
0.41,-0.142,0.961
0.299,-0.085,0.963
0.188,-0.019,0.979
0.078,0.099,1.087
-0.146,0.21,1.171
-0.21,0.26,1.193
-0.042,0.252,1.124
0.185,0.161,1.064
0.327,0.007,1.014
0.254,-0.097,0.952
0.141,-0.167,0.928
0.089,-0.243,0.964
0.052,-0.284,0.958
0.065,-0.316,0.94
0.1,-0.339,0.923
0.121,-0.354,0.9
0.127,-0.369,0.911
0.081,-0.354,0.923
0.031,-0.305,0.957
0.023,-0.235,0.958
0.11,-0.169,0.965
0.179,-0.095,0.994
0.11,-0.014,1.013
0.128,0.059,1.065
0.115,0.108,1.096
0.041,0.102,1.06
0.008,0.099,1.037
-0.009,0.048,1.063
-0.124,-0.011,1.056
-0.244,-0.014,0.998
-0.235,-0.037,0.99
-0.203,-0.075,1.017
-0.154,-0.12,1.043
-0.053,-0.196,1.023
0.029,-0.24,0.983
0.031,-0.234,0.899
0.072,-0.263,0.815
0.105,-0.305,0.769
0.197,-0.29,0.847
0.269,-0.26,0.943
0.364,-0.26,0.961
0.421,-0.22,1.012
0.329,-0.171,1.021
0.259,-0.154,0.974
0.275,-0.159,0.93
0.275,-0.156,0.89
0.185,-0.11,0.902
0.046,-0.007,0.979
-0.06,0.117,1.088
-0.107,0.219,1.201
-0.086,0.248,1.257
-0.081,0.204,1.201
-0.016,0.16,1.132
0.034,0.053,1.025
0.111,-0.092,0.914
0.155,-0.166,0.883
0.144,-0.246,0.884
0.128,-0.284,0.951
0.073,-0.28,1.005
0.043,-0.264,0.991
0.043,-0.259,0.968
0.028,-0.247,0.94
0.065,-0.226,0.952
0.092,-0.199,0.991
0.096,-0.173,0.973
0.08,-0.098,0.976
0.052,-0.022,1.042
0.207,0.021,1.112
0.255,0.055,1.122
0.214,0.048,1.051
0.161,0.055,0.985
-0.004,0.036,0.94
-0.213,0.013,0.952
-0.367,0.026,0.992
-0.304,0.015,1.064
-0.157,-0.057,1.132
-0.037,-0.136,1.118
0.062,-0.202,1.028
0.064,-0.249,0.923
0.095,-0.253,0.851
0.111,-0.24,0.842
0.115,-0.24,0.871
0.121,-0.238,0.931
0.12,-0.256,0.891
0.272,-0.256,0.924
0.332,-0.219,0.964
0.359,-0.193,0.895
0.487,-0.187,0.925
0.556,-0.181,0.981
0.45,-0.173,0.971
0.312,-0.128,0.952
0.162,-0.076,0.942
0.061,0.009,0.997
-0.137,0.132,1.098
-0.284,0.206,1.175
-0.269,0.22,1.199
-0.205,0.2,1.153
-0.061,0.152,1.051
0.06,-0.023,0.945
0.117,-0.139,0.887
0.158,-0.185,0.869
0.182,-0.284,0.904
0.224,-0.297,0.977
0.16,-0.295,1.001
0.1,-0.285,0.997
0.036,-0.273,0.965
-0.015,-0.27,0.946
-0.043,-0.263,0.901
-0.042,-0.22,0.884
-0.003,-0.125,0.934
0.083,-0.042,1.027
0.156,0.031,1.081
0.208,0.066,1.056
0.265,0.045,1.034
0.243,0.011,0.999
0.153,-0.01,0.977
-0.023,-0.017,0.992
-0.211,-0.018,1.031
-0.332,-0.019,1.075
-0.318,-0.061,1.091
-0.169,-0.103,1.068
0.001,-0.128,1.054
0.077,-0.162,1.061
0.032,-0.159,1.028
0.009,-0.166,0.959
0.017,-0.215,0.874
0.114,-0.249,0.803
0.164,-0.231,0.837
0.219,-0.215,0.91
0.23,-0.223,0.949
0.22,-0.232,0.946
0.249,-0.216,0.931
0.273,-0.202,0.92
0.313,-0.192,0.972
0.42,-0.189,1.021
0.508,-0.18,1.048
0.423,-0.148,0.989
0.325,-0.118,0.935
0.233,-0.079,0.927
0.087,-0.01,0.969
-0.12,0.076,1.044
-0.265,0.138,1.11
-0.322,0.166,1.107
-0.232,0.156,1.071
-0.026,0.123,1.075
0.081,0.063,1.039
0.149,-0.054,0.979
0.174,-0.133,0.945
0.175,-0.159,0.929
0.153,-0.23,0.971
0.105,-0.246,1.009
0.043,-0.255,0.998
0.045,-0.28,0.961
0.062,-0.296,0.913
0.116,-0.316,0.903
0.175,-0.301,0.914
0.186,-0.256,0.933
0.158,-0.197,0.974
0.089,-0.124,1.02
0.038,-0.055,1.019
0.102,-0.013,1.061
0.198,0.032,1.084
0.312,0.051,1.058
0.378,-0.002,1.016
0.369,-0.034,1.013
0.133,-0.026,1.017
-0.156,-0.003,1.022
-0.364,0.014,1.004
-0.329,0.011,0.992
-0.13,-0.055,1.043
-0.04,-0.148,1.029
0.08,-0.197,0.992
0.206,-0.217,0.962
0.211,-0.233,0.938
0.094,-0.22,0.933
0.041,-0.19,0.938
0.034,-0.224,0.944
0.051,-0.262,0.903
0.164,-0.277,0.836
0.321,-0.265,0.84
0.437,-0.243,0.858
0.524,-0.207,0.886
0.512,-0.178,0.892
0.466,-0.171,0.888
0.506,-0.176,0.89
0.552,-0.173,0.908
0.509,-0.124,0.982
0.336,-0.023,1.074
0.1,0.065,1.133
-0.056,0.109,1.137
-0.024,0.089,1.112
0.078,0.052,1.085
0.167,-0.003,1.008
0.23,-0.105,0.914
0.189,-0.135,0.882
0.135,-0.158,0.895
0.122,-0.231,0.949
0.154,-0.253,0.981
0.157,-0.27,0.964
0.171,-0.262,0.934
0.207,-0.248,0.926
0.27,-0.265,0.922
0.31,-0.27,0.917
0.287,-0.246,0.936
0.224,-0.189,0.985
0.118,-0.124,1.034
0.013,-0.054,1.028
0.052,-0.006,1.074
0.142,0.028,1.101
0.266,0.036,1.024
0.443,-0.007,0.971
0.348,-0.06,0.964
0.103,-0.068,0.984
-0.165,-0.037,1.01
-0.304,-0.036,1.045
-0.308,-0.06,1.063
-0.194,-0.088,1.056
-0.025,-0.164,1.029
0.086,-0.227,0.955
0.179,-0.263,0.875
0.223,-0.279,0.817
0.252,-0.266,0.825
0.257,-0.229,0.891
0.212,-0.214,0.949
0.205,-0.229,0.949
0.254,-0.238,0.914
0.293,-0.226,0.911
0.339,-0.214,0.923
0.386,-0.2,0.969
0.4,-0.191,1.023
0.35,-0.18,1.033
0.316,-0.176,1.005
0.478,-0.193,0.985
0.617,-0.206,0.956
0.441,-0.184,0.885
0.25,-0.115,0.874
0.069,-0.04,0.934
-0.075,0.049,1.05
-0.178,0.135,1.141
-0.245,0.178,1.168
-0.16,0.134,1.12
0.011,0.059,1.026
0.053,-0.07,0.958
0.035,-0.126,0.94
0.082,-0.16,0.96
0.138,-0.242,0.992
0.154,-0.272,0.982
0.166,-0.296,0.933
0.153,-0.309,0.901
0.089,-0.311,0.906
0.031,-0.279,0.946
-0.035,-0.248,0.978
-0.088,-0.208,0.988
-0.084,-0.138,0.946
-0.028,-0.051,1.0
0.051,0.017,1.053
0.166,0.037,1.064
0.274,0.006,1.059
0.252,-0.031,1.017
0.059,-0.081,0.965
-0.139,-0.095,0.963
-0.267,-0.099,0.998
-0.271,-0.101,1.041
-0.158,-0.12,1.072
-0.016,-0.151,1.079
0.046,-0.199,1.015
0.057,-0.242,0.961
0.041,-0.239,0.907
0.078,-0.252,0.878
0.074,-0.284,0.867
0.079,-0.289,0.887
0.155,-0.277,0.872
0.22,-0.27,0.866
0.29,-0.256,0.923
0.322,-0.235,0.968
0.324,-0.219,0.97
0.321,-0.183,0.984
0.454,-0.17,1.041
0.65,-0.158,1.06
0.647,-0.17,1.014
0.474,-0.179,0.927
0.321,-0.185,0.884
0.258,-0.158,0.922
0.173,-0.066,0.945
0.091,0.003,1.009
-0.045,0.088,1.14
-0.263,0.155,1.203
-0.361,0.124,1.099
-0.169,-0.006,0.988
0.03,-0.098,1.002
0.104,-0.172,1.012
0.171,-0.268,0.957
0.214,-0.311,0.908
0.155,-0.35,0.885
0.143,-0.32,0.905
0.117,-0.31,0.926
0.038,-0.298,0.915
0.022,-0.269,0.899
