acc_x,acc_y,acc_z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.227,0.178,1.005
0.192,0.176,0.98
0.173,0.182,0.99
0.116,0.167,1.02
0.136,0.161,1.047
0.066,0.163,1.03
0.007,0.116,1.019
-0.059,0.089,0.969
-0.026,0.035,0.953
0.019,0.024,0.994
-0.04,0.056,1.003
0.008,0.015,0.965
0.156,0.012,0.922
0.182,0.051,0.945
0.271,0.068,1.019
0.275,0.102,1.057
0.249,0.124,1.03
0.197,0.103,0.974
0.166,0.114,0.96
0.174,0.117,1.0
0.186,0.113,1.023
0.228,0.094,1.003
0.263,0.056,0.965
0.265,0.046,0.945
0.273,0.035,0.954
0.256,0.024,0.966
0.232,0.032,0.96
0.238,0.038,0.951
0.237,0.041,0.954
0.246,0.061,0.948
0.262,0.086,0.95
0.216,0.163,0.994
0.138,0.227,1.058
0.085,0.256,1.094
0.064,0.251,1.088
0.149,0.21,1.082
0.157,0.215,1.017
0.175,0.203,0.878
0.265,0.1,0.85
0.354,0.057,0.901
0.416,0.011,0.952
0.406,0.004,0.984
0.348,-0.005,0.962
0.336,0.027,0.944
0.33,0.05,0.973
0.295,0.077,0.986
0.216,0.123,0.989
0.176,0.176,1.012
0.173,0.198,1.045
0.188,0.197,1.052
0.189,0.18,1.036
0.162,0.186,1.008
0.065,0.192,0.998
-0.103,0.208,0.976
-0.202,0.169,0.951
-0.095,0.114,0.956
0.001,0.084,0.982
0.043,0.032,1.018
-0.026,0.08,1.024
0.029,0.04,0.976
0.225,-0.012,0.86
0.34,0.009,0.865
0.362,0.032,0.923
0.443,0.038,1.025
0.39,0.108,1.072
0.215,0.093,1.039
0.117,0.088,0.984
0.105,0.083,0.963
0.167,0.068,0.976
0.275,0.052,0.99
0.394,0.036,0.983
0.381,0.013,0.946
0.328,0.003,0.918
0.271,-0.001,0.911
0.254,0.013,0.926
0.222,0.058,0.928
0.195,0.1,0.931
0.124,0.154,0.974
0.138,0.184,1.07
0.119,0.235,1.114
0.134,0.246,1.084
0.16,0.225,1.084
0.191,0.233,1.043
0.194,0.2,0.91
0.252,0.124,0.849
0.285,0.076,0.867
0.305,0.022,0.969
0.336,0.027,1.052
0.303,0.005,1.018
0.252,0.011,0.953
0.264,0.04,0.96
0.289,0.059,0.996
0.294,0.081,0.988
0.21,0.127,1.023
0.144,0.192,1.067
0.069,0.228,1.031
0.022,0.225,0.947
0.109,0.206,0.971
0.172,0.177,1.036
0.155,0.176,1.073
0.104,0.14,1.046
-0.002,0.074,0.944
-0.163,0.06,0.863
-0.332,0.087,0.93
-0.315,0.133,1.013
-0.052,0.068,0.975
0.263,-0.02,0.835
0.603,-0.061,0.815
0.611,-0.014,0.928
0.531,0.018,1.001
0.476,0.064,1.045
0.309,0.094,1.006
0.153,0.093,0.961
0.105,0.105,0.966
0.172,0.091,0.994
0.296,0.069,1.004
0.397,0.039,0.977
0.416,0.008,0.934
0.4,0.002,0.909
0.328,0.003,0.911
0.274,0.048,0.93
0.26,0.096,0.951
0.224,0.14,0.984
0.174,0.172,1.043
0.131,0.212,1.097
0.105,0.227,1.094
0.126,0.211,1.068
0.165,0.235,1.009
0.221,0.16,0.907
0.258,0.086,0.867
0.291,0.091,0.854
0.281,0.022,0.963
0.313,0.04,1.02
0.323,0.024,0.98
0.254,0.051,0.956
0.285,0.058,1.0
0.298,0.079,1.008
0.274,0.101,0.99
0.254,0.141,1.006
0.217,0.161,0.999
0.158,0.17,0.975
0.082,0.194,0.975
0.044,0.18,1.005
-0.026,0.187,1.048
-0.095,0.215,1.074
-0.078,0.196,1.044
-0.036,0.09,0.992
-0.056,0.078,0.947
-0.029,0.024,0.964
0.018,0.034,0.992
-0.031,0.044,0.979
0.09,0.003,0.887
0.221,-0.007,0.85
0.307,0.021,0.908
0.437,0.053,0.993
0.482,0.077,1.056
0.352,0.094,1.037
0.198,0.106,0.975
0.135,0.11,0.966
0.23,0.1,0.992
0.361,0.088,1.001
0.405,0.071,0.982
0.374,0.065,0.96
0.328,0.048,0.958
0.316,0.032,0.969
0.352,0.027,0.973
0.358,0.007,0.936
0.374,-0.008,0.902
0.375,-0.015,0.891
0.323,-0.002,0.891
0.238,0.06,0.905
0.146,0.124,0.962
0.084,0.183,1.041
0.058,0.219,1.089
0.06,0.237,1.104
0.053,0.212,1.092
0.053,0.18,1.089
0.1,0.201,0.978
0.203,0.116,0.853
0.32,0.035,0.843
0.366,-0.005,0.878
0.387,0.004,0.962
0.33,0.04,1.006
0.288,0.052,1.02
0.308,0.078,1.007
0.252,0.08,0.983
0.246,0.078,0.966
0.212,0.108,0.983
0.173,0.144,1.021
0.17,0.18,1.065
0.174,0.219,1.068
0.073,0.202,1.016
0.007,0.179,0.972
0.009,0.18,0.993
-0.033,0.179,1.048
-0.074,0.161,1.06
-0.064,0.088,1.004
-0.089,0.064,0.943
-0.142,0.057,0.933
-0.173,0.062,0.97
-0.062,0.016,0.913
0.111,-0.002,0.854
0.181,0.027,0.877
0.229,0.026,0.956
0.352,0.032,0.995
0.476,0.046,1.006
0.423,0.068,1.019
0.364,0.078,1.009
0.33,0.071,0.999
0.292,0.068,0.979
0.24,0.062,0.983
0.245,0.066,1.0
0.26,0.06,0.988
0.281,0.063,0.983
0.271,0.067,0.981
0.247,0.069,0.964
0.227,0.046,0.927
0.245,0.047,0.924
0.286,0.075,0.947
0.261,0.104,0.96
0.178,0.122,0.987
0.127,0.159,1.031
0.117,0.171,1.046
0.169,0.172,1.02
0.257,0.169,1.066
0.228,0.181,1.109
0.144,0.205,0.953
0.22,0.131,0.847
0.328,0.059,0.853
0.337,0.039,0.93
0.346,0.052,1.025
0.338,0.052,1.041
0.297,0.048,0.983
0.251,0.067,0.95
0.277,0.078,0.959
0.3,0.061,0.978
0.276,0.075,0.962
0.258,0.106,0.972
0.257,0.137,1.001
0.241,0.149,1.004
0.181,0.159,1.011
0.119,0.143,1.003
0.055,0.132,0.979
0.024,0.142,0.997
0.087,0.159,1.079
0.054,0.15,1.088
-0.026,0.082,1.003
-0.06,0.089,0.914
-0.045,0.05,0.904
0.013,0.02,0.945
0.136,0.019,0.926
0.226,0.035,0.944
0.244,0.061,1.006
0.329,0.079,1.069
0.339,0.089,1.049
0.269,0.093,1.014
0.194,0.125,0.982
0.18,0.108,0.967
0.196,0.099,0.974
0.246,0.094,0.991
0.307,0.076,1.003
0.321,0.078,0.985
0.303,0.07,0.951
0.264,0.053,0.95
0.267,0.033,0.965
0.29,0.01,0.956
0.305,0.006,0.937
0.319,0.001,0.927
0.316,-0.003,0.905
0.305,0.036,0.894
0.307,0.089,0.947
0.2,0.164,1.034
0.067,0.226,1.091
0.006,0.229,1.087
0.053,0.201,1.078
0.176,0.156,1.073
0.282,0.146,0.991
0.282,0.112,0.855
0.307,0.041,0.855
0.29,0.041,0.942
0.252,0.022,1.018
0.304,0.021,1.01
0.303,0.019,0.968
0.286,0.026,0.958
0.324,0.031,0.977
0.305,0.05,0.958
0.263,0.087,0.956
0.222,0.125,0.999
0.223,0.163,1.035
0.177,0.199,1.034
0.069,0.214,0.975
-0.013,0.189,0.952
-0.026,0.206,1.02
-0.057,0.238,1.077
-0.089,0.213,1.041
-0.06,0.112,0.973
-0.052,0.083,0.926
-0.092,0.074,0.953
-0.074,0.06,1.03
0.016,0.067,1.02
0.113,0.043,0.951
0.165,0.04,0.915
0.274,0.048,0.929
0.346,0.066,0.983
0.333,0.082,1.042
0.315,0.103,1.034
0.263,0.09,0.98
0.216,0.084,0.953
0.219,0.088,0.96
0.257,0.095,0.98
0.297,0.088,1.006
0.339,0.081,1.016
0.331,0.049,0.983
0.311,0.015,0.94
0.307,0.005,0.914
0.296,-0.002,0.918
0.31,0.022,0.927
0.322,0.041,0.928
0.27,0.073,0.95
0.166,0.145,0.978
0.081,0.183,1.03
