acc_x,acc_y,acc_z
0.461,-0.365,1.13
0.461,-0.365,1.13
0.461,-0.365,1.13
0.478,-0.309,1.134
0.478,-0.309,1.134
0.478,-0.309,1.134
0.404,-0.285,0.971
0.404,-0.285,0.971
0.404,-0.285,0.971
0.368,-0.32,0.865
0.368,-0.32,0.865
0.368,-0.32,0.865
0.226,-0.367,0.838
0.226,-0.367,0.838
0.226,-0.367,0.838
0.053,-0.378,0.859
0.053,-0.378,0.859
0.053,-0.378,0.859
-0.127,-0.351,0.853
-0.127,-0.351,0.853
-0.127,-0.351,0.853
-0.186,-0.372,0.795
-0.186,-0.372,0.795
-0.186,-0.372,0.795
0.024,-0.469,0.737
0.024,-0.469,0.737
0.024,-0.469,0.737
0.284,-0.55,0.672
0.284,-0.55,0.672
0.284,-0.55,0.672
0.41,-0.6,0.688
0.41,-0.6,0.688
0.41,-0.6,0.688
0.455,-0.613,0.707
0.455,-0.613,0.707
0.455,-0.613,0.707
0.487,-0.558,0.71
0.487,-0.558,0.71
0.487,-0.558,0.71
0.438,-0.456,0.76
0.438,-0.456,0.76
0.438,-0.456,0.76
0.362,-0.333,0.929
0.362,-0.333,0.929
0.362,-0.333,0.929
0.214,-0.192,1.102
0.214,-0.192,1.102
0.214,-0.192,1.102
-0.01,-0.094,1.149
-0.01,-0.094,1.149
-0.01,-0.094,1.149
-0.162,-0.022,1.102
-0.162,-0.022,1.102
-0.162,-0.022,1.102
-0.072,-0.026,1.086
-0.072,-0.026,1.086
-0.072,-0.026,1.086
0.183,-0.101,1.105
0.183,-0.101,1.105
0.183,-0.101,1.105
0.337,-0.241,1.027
0.337,-0.241,1.027
0.337,-0.241,1.027
0.361,-0.299,0.937
0.361,-0.299,0.937
0.361,-0.299,0.937
0.357,-0.297,0.897
0.357,-0.297,0.897
0.357,-0.297,0.897
0.439,-0.309,0.922
0.439,-0.309,0.922
0.439,-0.309,0.922
0.518,-0.357,1.088
0.518,-0.357,1.088
0.518,-0.357,1.088
0.442,-0.342,1.13
0.442,-0.342,1.13
0.442,-0.342,1.13
0.336,-0.305,1.008
0.336,-0.305,1.008
0.336,-0.305,1.008
0.2,-0.284,0.891
0.2,-0.284,0.891
0.2,-0.284,0.891
0.049,-0.318,0.869
0.049,-0.318,0.869
0.049,-0.318,0.869
0.051,-0.332,0.892
0.051,-0.332,0.892
0.051,-0.332,0.892
0.107,-0.361,0.877
0.107,-0.361,0.877
0.107,-0.361,0.877
0.187,-0.415,0.82
0.187,-0.415,0.82
0.187,-0.415,0.82
0.258,-0.461,0.747
0.258,-0.461,0.747
0.258,-0.461,0.747
0.34,-0.512,0.701
0.34,-0.512,0.701
0.34,-0.512,0.701
0.322,-0.562,0.67
0.322,-0.562,0.67
0.322,-0.562,0.67
0.285,-0.593,0.656
0.285,-0.593,0.656
0.285,-0.593,0.656
0.352,-0.581,0.703
0.352,-0.581,0.703
0.352,-0.581,0.703
0.405,-0.514,0.767
0.405,-0.514,0.767
0.405,-0.514,0.767
0.332,-0.435,0.845
0.332,-0.435,0.845
0.332,-0.435,0.845
0.24,-0.315,0.911
0.24,-0.315,0.911
0.24,-0.315,0.911
0.21,-0.212,1.017
0.21,-0.212,1.017
0.21,-0.212,1.017
0.137,-0.157,1.083
0.137,-0.157,1.083
0.137,-0.157,1.083
0.114,-0.095,1.098
0.114,-0.095,1.098
0.114,-0.095,1.098
0.206,-0.022,1.182
0.206,-0.022,1.182
0.206,-0.022,1.182
0.316,-0.01,1.256
0.316,-0.01,1.256
0.316,-0.01,1.256
0.422,-0.057,1.194
0.422,-0.057,1.194
0.422,-0.057,1.194
0.339,-0.202,1.028
0.339,-0.202,1.028
0.339,-0.202,1.028
0.172,-0.249,0.88
0.172,-0.249,0.88
0.172,-0.249,0.88
0.143,-0.138,0.812
0.143,-0.138,0.812
0.143,-0.138,0.812
0.302,-0.165,0.877
0.302,-0.165,0.877
0.302,-0.165,0.877
0.565,-0.279,1.058
0.565,-0.279,1.058
0.565,-0.279,1.058
0.601,-0.3,1.123
0.601,-0.3,1.123
0.601,-0.3,1.123
0.411,-0.292,0.99
0.411,-0.292,0.99
0.411,-0.292,0.99
0.242,-0.3,0.861
0.242,-0.3,0.861
0.242,-0.3,0.861
0.081,-0.311,0.82
0.081,-0.311,0.82
0.081,-0.311,0.82
-0.106,-0.323,0.87
-0.106,-0.323,0.87
-0.106,-0.323,0.87
-0.264,-0.345,0.919
-0.264,-0.345,0.919
-0.264,-0.345,0.919
-0.246,-0.391,0.907
-0.246,-0.391,0.907
-0.246,-0.391,0.907
-0.108,-0.473,0.839
-0.108,-0.473,0.839
-0.108,-0.473,0.839
0.097,-0.552,0.784
0.097,-0.552,0.784
0.097,-0.552,0.784
0.24,-0.601,0.764
0.24,-0.601,0.764
0.24,-0.601,0.764
0.239,-0.608,0.786
0.239,-0.608,0.786
0.239,-0.608,0.786
0.12,-0.549,0.844
0.12,-0.549,0.844
0.12,-0.549,0.844
0.048,-0.408,0.886
0.048,-0.408,0.886
0.048,-0.408,0.886
0.156,-0.27,0.945
0.156,-0.27,0.945
0.156,-0.27,0.945
0.188,-0.132,1.02
0.188,-0.132,1.02
0.188,-0.132,1.02
0.156,0.02,1.122
0.156,0.02,1.122
0.156,0.02,1.122
0.139,0.163,1.206
0.139,0.163,1.206
0.139,0.163,1.206
0.198,0.235,1.239
0.198,0.235,1.239
0.198,0.235,1.239
0.225,0.255,1.218
0.225,0.255,1.218
0.225,0.255,1.218
0.2,0.248,1.103
0.2,0.248,1.103
0.2,0.248,1.103
0.27,0.177,1.015
0.27,0.177,1.015
0.27,0.177,1.015
0.261,0.048,0.905
0.261,0.048,0.905
0.261,0.048,0.905
0.324,-0.019,0.823
0.324,-0.019,0.823
0.324,-0.019,0.823
0.371,-0.052,0.934
0.371,-0.052,0.934
0.371,-0.052,0.934
0.371,-0.117,1.079
0.371,-0.117,1.079
0.371,-0.117,1.079
0.401,-0.145,1.119
0.401,-0.145,1.119
0.401,-0.145,1.119
0.386,-0.122,1.063
0.386,-0.122,1.063
0.386,-0.122,1.063
0.316,-0.141,0.964
0.316,-0.141,0.964
0.316,-0.141,0.964
0.295,-0.194,0.893
0.295,-0.194,0.893
0.295,-0.194,0.893
0.183,-0.252,0.875
0.183,-0.252,0.875
0.183,-0.252,0.875
0.018,-0.268,0.908
0.018,-0.268,0.908
0.018,-0.268,0.908
-0.002,-0.296,0.907
-0.002,-0.296,0.907
-0.002,-0.296,0.907
0.076,-0.357,0.874
0.076,-0.357,0.874
0.076,-0.357,0.874
0.145,-0.416,0.862
0.145,-0.416,0.862
0.145,-0.416,0.862
0.225,-0.447,0.882
0.225,-0.447,0.882
0.225,-0.447,0.882
0.254,-0.442,0.862
0.254,-0.442,0.862
0.254,-0.442,0.862
0.217,-0.422,0.838
0.217,-0.422,0.838
0.217,-0.422,0.838
0.15,-0.398,0.797
0.15,-0.398,0.797
0.15,-0.398,0.797
0.093,-0.364,0.806
0.093,-0.364,0.806
0.093,-0.364,0.806
0.11,-0.292,0.875
0.11,-0.292,0.875
0.11,-0.292,0.875
0.246,-0.184,0.913
0.246,-0.184,0.913
0.246,-0.184,0.913
0.316,-0.072,0.952
0.316,-0.072,0.952
0.316,-0.072,0.952
0.164,0.069,1.042
0.164,0.069,1.042
0.164,0.069,1.042
0.109,0.223,1.191
0.109,0.223,1.191
0.109,0.223,1.191
0.305,0.317,1.269
0.305,0.317,1.269
0.305,0.317,1.269
0.428,0.327,1.219
0.428,0.327,1.219
0.428,0.327,1.219
0.449,0.29,1.136
0.449,0.29,1.136
