acc_x,acc_y,acc_z
0.502,0.002,0.92
0.502,0.002,0.92
0.502,0.002,0.92
0.495,0.113,1.002
0.495,0.113,1.002
0.495,0.113,1.002
0.497,0.174,1.014
0.497,0.174,1.014
0.497,0.174,1.014
0.561,0.18,1.006
0.561,0.18,1.006
0.561,0.18,1.006
0.526,0.165,1.013
0.526,0.165,1.013
0.526,0.165,1.013
0.429,0.129,0.965
0.429,0.129,0.965
0.429,0.129,0.965
0.301,0.038,0.892
0.301,0.038,0.892
0.301,0.038,0.892
0.277,-0.134,0.897
0.277,-0.134,0.897
0.277,-0.134,0.897
0.33,-0.281,0.942
0.33,-0.281,0.942
0.33,-0.281,0.942
0.397,-0.326,0.944
0.397,-0.326,0.944
0.397,-0.326,0.944
0.473,-0.332,0.909
0.473,-0.332,0.909
0.473,-0.332,0.909
0.466,-0.313,0.917
0.466,-0.313,0.917
0.466,-0.313,0.917
0.395,-0.242,0.932
0.395,-0.242,0.932
0.395,-0.242,0.932
0.275,-0.148,0.934
0.275,-0.148,0.934
0.275,-0.148,0.934
0.211,-0.091,0.922
0.211,-0.091,0.922
0.211,-0.091,0.922
0.323,-0.068,0.968
0.323,-0.068,0.968
0.323,-0.068,0.968
0.352,-0.044,0.986
0.352,-0.044,0.986
0.352,-0.044,0.986
0.325,-0.05,0.96
0.325,-0.05,0.96
0.325,-0.05,0.96
0.295,-0.055,0.847
0.295,-0.055,0.847
0.295,-0.055,0.847
0.218,-0.09,0.791
0.218,-0.09,0.791
0.218,-0.09,0.791
0.176,-0.163,0.814
0.176,-0.163,0.814
0.176,-0.163,0.814
0.245,-0.249,0.937
0.245,-0.249,0.937
0.245,-0.249,0.937
0.416,-0.272,1.0
0.416,-0.272,1.0
0.416,-0.272,1.0
0.458,-0.291,0.968
0.458,-0.291,0.968
0.458,-0.291,0.968
0.414,-0.278,0.963
0.414,-0.278,0.963
0.414,-0.278,0.963
0.396,-0.22,0.961
0.396,-0.22,0.961
0.396,-0.22,0.961
0.34,-0.168,0.933
0.34,-0.168,0.933
0.34,-0.168,0.933
0.28,-0.144,0.955
0.28,-0.144,0.955
0.28,-0.144,0.955
0.292,-0.137,0.98
0.292,-0.137,0.98
0.292,-0.137,0.98
0.329,-0.147,0.947
0.329,-0.147,0.947
0.329,-0.147,0.947
0.295,-0.162,0.891
0.295,-0.162,0.891
0.295,-0.162,0.891
0.281,-0.174,0.838
0.281,-0.174,0.838
0.281,-0.174,0.838
0.314,-0.188,0.79
0.314,-0.188,0.79
0.314,-0.188,0.79
0.353,-0.223,0.839
0.353,-0.223,0.839
0.353,-0.223,0.839
0.368,-0.253,0.931
0.368,-0.253,0.931
0.368,-0.253,0.931
0.425,-0.313,0.93
0.425,-0.313,0.93
0.425,-0.313,0.93
0.405,-0.339,0.85
0.405,-0.339,0.85
0.405,-0.339,0.85
0.426,-0.306,0.844
0.426,-0.306,0.844
0.426,-0.306,0.844
0.415,-0.251,0.91
0.415,-0.251,0.91
0.415,-0.251,0.91
0.502,-0.188,0.944
0.502,-0.188,0.944
0.502,-0.188,0.944
0.554,-0.18,0.962
0.554,-0.18,0.962
0.554,-0.18,0.962
0.53,-0.149,0.916
0.53,-0.149,0.916
0.53,-0.149,0.916
