acc_x,acc_y,acc_z
0.157,-0.37,0.942
0.157,-0.37,0.942
0.157,-0.37,0.942
0.324,-0.236,1.082
0.324,-0.236,1.082
0.324,-0.236,1.082
0.395,-0.083,1.14
0.395,-0.083,1.14
0.395,-0.083,1.14
0.326,-0.009,1.074
0.326,-0.009,1.074
0.326,-0.009,1.074
0.15,0.02,0.947
0.15,0.02,0.947
0.15,0.02,0.947
0.047,-0.031,0.881
0.047,-0.031,0.881
0.047,-0.031,0.881
0.105,-0.154,0.899
0.105,-0.154,0.899
0.105,-0.154,0.899
0.151,-0.248,0.942
0.151,-0.248,0.942
0.151,-0.248,0.942
0.181,-0.296,0.976
0.181,-0.296,0.976
0.181,-0.296,0.976
0.139,-0.306,0.969
0.139,-0.306,0.969
0.139,-0.306,0.969
0.052,-0.316,0.924
0.052,-0.316,0.924
0.052,-0.316,0.924
0.066,-0.36,0.908
0.066,-0.36,0.908
0.066,-0.36,0.908
0.115,-0.374,0.955
0.115,-0.374,0.955
0.115,-0.374,0.955
0.188,-0.339,0.957
0.188,-0.339,0.957
0.188,-0.339,0.957
0.226,-0.285,0.957
0.226,-0.285,0.957
0.226,-0.285,0.957
0.239,-0.168,1.033
0.239,-0.168,1.033
0.239,-0.168,1.033
0.166,-0.03,1.07
0.166,-0.03,1.07
0.166,-0.03,1.07
0.048,0.065,1.074
0.048,0.065,1.074
0.048,0.065,1.074
-0.043,0.106,1.031
-0.043,0.106,1.031
-0.043,0.106,1.031
-0.046,0.074,0.984
-0.046,0.074,0.984
-0.046,0.074,0.984
0.015,-0.033,0.999
0.015,-0.033,0.999
0.015,-0.033,0.999
0.095,-0.107,1.036
0.095,-0.107,1.036
0.095,-0.107,1.036
0.154,-0.111,1.07
0.154,-0.111,1.07
0.154,-0.111,1.07
0.161,-0.115,1.07
0.161,-0.115,1.07
0.161,-0.115,1.07
0.146,-0.112,1.017
0.146,-0.112,1.017
0.146,-0.112,1.017
0.158,-0.113,0.985
0.158,-0.113,0.985
0.158,-0.113,0.985
0.211,-0.078,1.038
0.211,-0.078,1.038
0.211,-0.078,1.038
0.244,-0.037,1.069
0.244,-0.037,1.069
0.244,-0.037,1.069
0.227,0.011,1.052
0.227,0.011,1.052
0.227,0.011,1.052
0.169,0.061,1.019
0.169,0.061,1.019
0.169,0.061,1.019
0.146,0.045,0.931
0.146,0.045,0.931
0.146,0.045,0.931
0.168,-0.008,0.897
0.168,-0.008,0.897
0.168,-0.008,0.897
0.173,-0.175,0.964
0.173,-0.175,0.964
0.173,-0.175,0.964
0.392,-0.36,1.033
0.392,-0.36,1.033
0.392,-0.36,1.033
0.396,-0.505,1.035
0.396,-0.505,1.035
0.396,-0.505,1.035
0.205,-0.537,0.945
0.205,-0.537,0.945
0.205,-0.537,0.945
-0.014,-0.549,0.865
-0.014,-0.549,0.865
-0.014,-0.549,0.865
-0.098,-0.546,0.865
-0.098,-0.546,0.865
-0.098,-0.546,0.865
0.022,-0.476,0.914
0.022,-0.476,0.914
0.022,-0.476,0.914
0.289,-0.445,1.0
0.289,-0.445,1.0
0.289,-0.445,1.0
0.505,-0.385,1.044
0.505,-0.385,1.044
0.505,-0.385,1.044
0.43,-0.282,1.03
0.43,-0.282,1.03
0.43,-0.282,1.03
0.143,-0.17,0.971
0.143,-0.17,0.971
0.143,-0.17,0.971
0.031,-0.07,0.876
0.031,-0.07,0.876
0.031,-0.07,0.876
0.18,0.042,0.927
0.18,0.042,0.927
0.18,0.042,0.927
0.35,0.072,1.004
0.35,0.072,1.004
0.35,0.072,1.004
0.366,0.044,0.997
0.366,0.044,0.997
0.366,0.044,0.997
0.179,0.022,0.974
0.179,0.022,0.974
0.179,0.022,0.974
